task,reward_contract,policy,seed,horizon,estimator,denominator,clip,evidence_status,descriptive_not_authorization
sepsis,terminal_90d_only,discrete_cql,3408,4,FQE,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,support_restricted_WPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,IS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,WIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,PDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,WPDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,CWPDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,DR,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,WDR,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,FQE,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,support_restricted_WPDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,IS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,WIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,PDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,WPDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,CWPDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,DR,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,WDR,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,FQE,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,support_restricted_WPDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,IS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,PDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,CWPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,DR,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WDR,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,FQE,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,support_restricted_WPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,IS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,PDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,CWPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,DR,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WDR,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,FQE,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,support_restricted_WPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,IS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,PDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WPDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,CWPDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,DR,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WDR,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,FQE,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,support_restricted_WPDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,IS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,PDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WPDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,CWPDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,DR,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,WDR,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,FQE,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,8,support_restricted_WPDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,1,IS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WIS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,PDIS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WPDIS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,CWPDIS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,DR,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WDR,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,FQE,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,support_restricted_WPDIS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,IS,historical_knn,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WIS,historical_knn,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,PDIS,historical_knn,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WPDIS,historical_knn,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,CWPDIS,historical_knn,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,DR,historical_knn,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WDR,historical_knn,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,FQE,historical_knn,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,support_restricted_WPDIS,historical_knn,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,IS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WIS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,PDIS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WPDIS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,CWPDIS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,DR,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WDR,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,FQE,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,support_restricted_WPDIS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,IS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WIS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,PDIS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WPDIS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,CWPDIS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,DR,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,WDR,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,FQE,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,1,support_restricted_WPDIS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,IS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,PDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,CWPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,DR,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WDR,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,FQE,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,support_restricted_WPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,IS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,PDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,CWPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,DR,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WDR,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,FQE,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,support_restricted_WPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,4,IS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WIS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,PDIS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WPDIS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,CWPDIS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,DR,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WDR,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,FQE,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,support_restricted_WPDIS,neural_classifier,none,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,IS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WIS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,PDIS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WPDIS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,CWPDIS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,DR,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,WDR,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,FQE,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,4,support_restricted_WPDIS,neural_classifier,20.0,reported_supported,True
sepsis,terminal_90d_only,soft_spibb,3408,8,IS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,PDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,CWPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,DR,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WDR,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,FQE,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,support_restricted_WPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,IS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,PDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,CWPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,DR,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WDR,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,FQE,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,support_restricted_WPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,IS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,PDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WPDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,CWPDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,DR,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WDR,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,FQE,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,support_restricted_WPDIS,neural_classifier,none,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,IS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,PDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WPDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,CWPDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,DR,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,WDR,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,FQE,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,soft_spibb,3408,8,support_restricted_WPDIS,neural_classifier,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,decision_transformer_adapter,3408,1,IS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,decision_transformer_adapter,3408,1,WIS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,decision_transformer_adapter,3408,1,PDIS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,decision_transformer_adapter,3408,1,WPDIS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,decision_transformer_adapter,3408,1,CWPDIS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,decision_transformer_adapter,3408,1,DR,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,decision_transformer_adapter,3408,1,WDR,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,decision_transformer_adapter,3408,1,FQE,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,decision_transformer_adapter,3408,1,support_restricted_WPDIS,historical_knn,none,reported_supported,True
sepsis,terminal_90d_only,decision_transformer_adapter,3408,1,IS,historical_knn,20.0,reported_supported,True
